Fid;NAME;PROVINCIA;LOCALITA;ALTITUDINE;NOME_SCIENTIFICO;NOME_VOLGARE;ALTEZZA;SCHEDA;gx_media_l;LATITUDINE;LONGITUDINE
95;Bonito;Avellino;Vieticala;359;Morus alba;Gelso;4;http://agricoltura.regione.campania.it/foreste/monum/scheda_93.html;https://lh4.googleusercontent.com/w1-kAdQoZ4ltnsSnl804_g7hMJIbPIC025gWLp8MwgnvzR-EZZIzn51j2128tAFU95wcQvG3YalaWnkVvQ_UtN1qOx_8kdPBXI0NUVsT1oKzCxuK7bp7fJVpT2pEdcNA;41,0163;14,9761
96;Dragoni;Caserta;Maiorano di Monte;453;Quercus cerris;Cerro;12;http://agricoltura.regione.campania.it/foreste/monum/scheda_94.html;https://lh5.googleusercontent.com/XARJiXSmWgXP1BrCNjzOnze6Q8MOJ3UUa9-Q8VGNmXYwMfNXrJTwB3vEtwLZxN3qNdcWDIHivVUecFGnRlsJk6JsMWtYApWO5pRJ_YrnV0KtVY4TcLbhj7CST9X5lhcq;41,2394;14,3198
97;Marcianise;Caserta;Aurno;22;Platanus acerifolia;Platano;37;http://agricoltura.regione.campania.it/foreste/monum/scheda_95.html;https://lh3.googleusercontent.com/OD8ikeBg1WigOD6C6wqRQNlmRGa8ZBPTTFP2qrLCB2Dov8qPL97U3Y-nwBFC3GL3qeYbLKtd7at8gvHTgd37nDLwcAfEa2qNeRamoTN_Hk-WvdOHhYTJuTLG_bNo24UpxA;41,0018;14,003
98;Piedimonte Matese;Caserta;Centro;170;Platanus acerifolia;Platano;30;http://agricoltura.regione.campania.it/foreste/monum/scheda_96.html;https://lh5.googleusercontent.com/ScyWwqxUhgI5fdLET-vBe0mzZzOvIRy9BSGFj2dbJAzGoa6oj0udKINN9Vv7yp_yk96_vuN9RtWZhaDoLwAoeb88IQG_Coy_GgT_h3jqZ2Z42Ty697pRpImbHunjrno;41,3563;14,3707
99;Ruviano;Caserta;Monastero;100;Quercus petrea;Rovere;12;http://agricoltura.regione.campania.it/foreste/monum/scheda_97.html;https://lh5.googleusercontent.com/a-phGj2wGW8zpNefWjhe0RozsHVPgtirtnsq_8fCTBOQeRoOoA821FDsBs-XPPBp1hIlbrRUwWET4VTli0w1OtK6fRDF5IOIZChRyqQHBv4STG8nCn4QSdnS8XMFjUM;41,1441;14,5735
100;Ruviano;Caserta;San Domenico;100;Olea europaea;Olivo;25;http://agricoltura.regione.campania.it/foreste/monum/scheda_98.html;https://lh6.googleusercontent.com/__sWmYBySkw8Ou9imv9c6voVzL3GRBA4-s9rPfK9ILDkiMFrgQLBRPPhcSwNJMyM-oReHSSmq8hp8Upzk3-eeuRjivCQ6qKf8ODJH5o8xF8sfNVpfH766Okk-uwYzTS6Gg;41,3824;14,6876
101;S. Cipriano Picentino;Salerno;Filetta;250;Tilia cordata;Tiglio;5;http://agricoltura.regione.campania.it/foreste/monum/scheda_99.html;https://lh3.googleusercontent.com/A4SHYIQhhZsvQ7Yog9-rNQ1rX-RXqPoS-Z0-qKBNjd360BcXtfaJiVeiKmY7UI7nCe8PUERn0N6aU9wVze4ZhZm3fUHOYxC6onOfZ8YLAKrN3X0JfuPq7pRYMDcNO20;40,7001;14,8716
102;San Cipriano Picentino;Salerno;Vignale;360;Cedrus deodora;Cedro;15;http://agricoltura.regione.campania.it/foreste/monum/scheda_100.html;https://lh4.googleusercontent.com/vmGyetH3Fp2kv68AnnobD48ohMOmEMV9kMw8ivBNRiZpg1mG7T8Wv4JzuO15sVb0OVwf1Qt01lekwOTqmLg_5IrdQzarL4a65bt36vK8FThA9MNbV7t6wALJwE_KT4w;40,7195;14,8708
103;San Gregorio Matese;Caserta;Acqua di Santa Maria;1050;Fagus sylvatica;Faggio;25;http://agricoltura.regione.campania.it/foreste/monum/scheda_101.html;https://lh4.googleusercontent.com/sFVF4QrzECJfcn2ifbrO8ieVMqfuxyJbcW1QieAeAumYq3ogJowTdJoBS2IFOcA5COnW3AJi_GdzveRm-Gh0SRSH-xrNorSSlv8U9j2Cpsh9LELYRTrxSFdTNZgEgAzk;41,4063;14,4369
104;San Mauro Cilento;Salerno;Lavaturo;344;Olea europaea;Olivo;15;http://agricoltura.regione.campania.it/foreste/monum/scheda_102.html;https://lh5.googleusercontent.com/n_DcMk4VvLMetTouFWAWLkhKqaUWHLpxez22e2eylvq-8b3jrQuB1NCaeN4W6ZTmwjHFfk7Umg84FStPlOxSlqKrtVErIROejHCOqJRp_5JecX8phFP7bj9oBcSGhKi4Yw;40,217;15,0429
105;San Mauro Cilento;Salerno;Lavaturo;311;Olea europaea;Olivo;13;http://agricoltura.regione.campania.it/foreste/monum/scheda_103.html;https://lh4.googleusercontent.com/OVS8snhtkUCqEDqSNJCBmU559SMDKQpHlqmUO2VeKy8-LcIDs4lu_27EhUU5YCFszR0rNj8w8zsex6-fSyV0uGelSjRwL9C_E11GPl4VNp1YzLYna56zw0bgIaLX0g;40,2158;15,0463
106;Agerola;Napoli;Campora;400;Tilia cordata;Tiglio;15;http://agricoltura.regione.campania.it/foreste/monum/scheda_104.html;https://lh4.googleusercontent.com/NEcc30EV30z25Xzgtd19RgUPAl7JV6VdnTak84nZkTzBmg6b3BtZhASJ7bNqKy5pWnfgnrA7ZDkOhRnjkOOQxLmiUFiILuuAYhrZn2Cy2QylewS_mSjAgkdA7LoPSiIP;40,6427;14,5499
107;Agerola;Napoli;P.zza Unità d'Italia;400;Platanus orientalis;Platano;16;http://agricoltura.regione.campania.it/foreste/monum/scheda_105.html;https://lh5.googleusercontent.com/gH428wSxCk_-uJe4JpBYX9ahJfUlM4Bjrdo8_FSkHTiprw3h_8uud6LyDr5Hlr7PcWsPrRmPOW9XaZEqyQCtyrLGgCVkhsLhdNGNYb-VtMcUm-styPnpkVkhhFhzCDU;40,6393;14,5448
108;Agerola;Napoli;Parco Colonia montana;400;Tilia cordata;Tiglio;18;http://agricoltura.regione.campania.it/foreste/monum/scheda_106.html;https://lh6.googleusercontent.com/x6X-HVHb_sLnGUIQpirWRQTMOTDzgT1uee6a48hd5OmEb1MffZn28IzES_LtC8UmHBS69iiR0sxozDD21DrgsIciikOm5hfCwIA2aCtCSrfWYKFH2M74egkBbLgMcYb4;40,6237;14,5662
109;Fontanarosa;Avellino;Viale Rinascita;494;Quercus pubescens;Quercia;20;http://agricoltura.regione.campania.it/foreste/monum/scheda_107.html;https://lh3.googleusercontent.com/fl_Dl6t0koqN28kkKG8bz04h5ILYqOcZE87xqBTy4AL4ikmPtp1Mo80ypXm7tTwpcQxXVIBnBOm3Sb8pPxjK3M_HTAbY2HoxDoIazZHonD7WPxOO5KkebV1P13kTNFI;41,0203;15,0178
110;Ruviano;Caserta;Alviglianello;100;Quercus petrea;Rovere;12;http://agricoltura.regione.campania.it/foreste/monum/scheda_108.html;https://lh6.googleusercontent.com/2uaXSp_TYpYDxPGNkb4I4SiHMMkvveeb_ustqkFSk4EvcDq_JUvxbbViUY0Ki6edglqBdM6sMUWSBBvnjUM0VPAeRyO4enX7JSyZWOwzPC6sLkIlpQu9SuMhHG-uK77ufw;41,1441;14,5735
111;Ruviano;Caserta;Alviglianello;100;Morus alba;Gelso;3;http://agricoltura.regione.campania.it/foreste/monum/scheda_109.html;https://lh6.googleusercontent.com/Rl_QFEpAgl1LGRAXzk_Lwws-aEdhGdubDAyDIMwgMkPtTvSG5CGgSLiGkbGFD9kEw6KHQuMT1TxDho2dn1PFrUj7WPMjcx48T85ZtMRX_a_Fr4SxyiPtKbk56Q65-nM;41,3341;14,728
112;Lacedonia;Avellino;Bosco di Origlio;842;Quercus cerris;Cerro;21;http://agricoltura.regione.campania.it/foreste/monum/scheda_110.html;https://lh5.googleusercontent.com/SDcjQwdTNJ56iAkYPrXeefSbF-m_qbSiSrmX51rxkoXh7osKECt10JUyluEuTFpTtZh4vqr6wskoEsaRYnCAkToyZdYWLBZ4y_-gvxEBVyQuhI9J8vl1QUm158YKwKc;41,0138;15,4413
113;Lacedonia;Avellino;Bosco di Origlio;851;Quercus cerris;Cerro;27;http://agricoltura.regione.campania.it/foreste/monum/scheda_111.html;https://lh4.googleusercontent.com/lB9IPrvqGogCelK8svsvriOcSlPXAiDIJKpR2MVhSsIBCIdeBEhkuGOYpk30Cv3BVECPcNqoJK5TMgCJsP466ZSBu132zb3xp2PlKBMUla8kVDxNqs4TfUpRdt4Mr3Lu;41,0113;15,44
114;Bonito;Avellino;Santoianni;456;Quercus pubescens;Cerza;18;http://agricoltura.regione.campania.it/foreste/monum/scheda_112.html;https://lh3.googleusercontent.com/tNdLHScuCjwO5uU6U7aMvIFk920m8QdGiJS-kjAyh9hQV8CRGLe2PN0o7pJeqmaOqLC8GftfkZyJ_zXwUngIv2yjR43P_ZQprpSNAG-wG_B99UWRdacTA28b1ftwlPZd;41,0999;15,0043
115;Torella dei Lombardi;Avellino;Cimitero;666;Cedrus libani;Cedro del Libano;18;http://agricoltura.regione.campania.it/foreste/monum/scheda_113.html;https://lh4.googleusercontent.com/Fer8kiSSLBZj2GQShbR7nKuyk1tLFN4_WJRXZVOS67QSkfzDKpbIlpSsbM3NmN7zsYL7FpTOFfAV9mECkhwrF1cRIXVg-roqLUeb-lflHR8avHCgRsSXUmROgVECIqs;40,9386;15,1152
116;Galluccio;Caserta;Largo Sipicciano;509;Tilia cordata;Tiglio;12;http://agricoltura.regione.campania.it/foreste/monum/scheda_114.html;https://lh5.googleusercontent.com/OI_dXLTxjpcGDpzpgPVHLFOF50ozccr3wz1SWXb0U_pghdCd0CTwHATVEMtJyi2at8AtylMyKw7h4V6HZ3EDtEzuy7gZOkqdr0DME0L3xE-9J5I6JgX6IcMcJt0p5VRMSg;41,3237;13,9445
117;Napoli;Napoli;Mostra d'Oltremare;51;Cinnamomum canphora;Canfora;15;http://agricoltura.regione.campania.it/foreste/monum/scheda_115.html;https://lh3.googleusercontent.com/cljlTK6d4gv2B0SX2KLOBhlDHx4uNXl56f4SZZYLZEGY2KHP8xCyLCvnS79KMD_PIbf_56ik372aS8uu_jtheWPOJ5e7-xK2s3sDo0IVBdwz93N55dZS_gTqqg0K3Ewc;40,8238;14,1869
118;Napoli;Napoli;Mostra d'Oltremare;68;Yucca elephantipes;Yucca;6;http://agricoltura.regione.campania.it/foreste/monum/scheda_116.html;https://lh3.googleusercontent.com/vvWgeMwbAJRmZEqtg37ubx6SSaFOhUYmd6Na7vdxSq_UT_eAR6ECYIQCdFT-w0lRXUU340OeZrQjHWy9AHgvp6-jkvmKB9Xv5ftrzf7dnZatzIlWP4ijpvk8kBUBxntdnQ;40,8241;14,1863
119;Napoli;Napoli;Mostra d'Oltremare;79;Ficus macrophylla;Ficus magnolioide;20;http://agricoltura.regione.campania.it/foreste/monum/scheda_117.html;https://lh5.googleusercontent.com/cmEb0sZJkBroe2teTBDReCgQdkq5atr06Ty25HJzAZ8FlaYpW_ttlGIc45trtN7WyE2D4iqGyBcRDUXiLcJP707K49C8bymERmonHoKhO0kjwQauUs0XuwAQC3p4L9lV;40,8222;14,1861
120;Napoli;Napoli;Mostra d'Oltremare;68;Phoenix canariensis;Palma delle Canarie;12;http://agricoltura.regione.campania.it/foreste/monum/scheda_118.html;https://lh6.googleusercontent.com/GBRHvrI9FGwQpp3holHjCdQULqzGbGlQUQ0qPr6YIFzfe5xZs2zSPduGWI_Rx4VuETU_eHfzdOvsM4p5EhBoqH21uvYV8o5LtJVdQYLmU5te6YVcGKe3Ob-tgSxKlgHN;40,8227;14,1838
121;Napoli;Napoli;Mostra d'Oltremare;63;Podocarpus falcatus ;Podocarpo;15;http://agricoltura.regione.campania.it/foreste/monum/scheda_119.html;https://lh5.googleusercontent.com/7HfqhbyjzVVlyzk6TPpClNw6ilbDphLrrZEF7yIYAQJCLkpaHAm9I3uzSI1KjMa7udNYtBkEE9n6cOiWCoNzRW3wlWWjxjfV2CqKwg7pL2n7c01aycqqV3u-YhTV-qThvA;40,8225;14,1847
122;Napoli;Napoli;Mostra d'Oltremare;74;Tipuana speciosa;Tipuana;14;http://agricoltura.regione.campania.it/foreste/monum/scheda_120.html;https://lh5.googleusercontent.com/wrXHwC7CjK5VtHMTuoSZPKhb0hxpZHX3EEczgVSvWaWwMHAmXuh7153qy4LSg3GIu44bcDn5ONYUBjvZjNRy0axwIQnQl1p3Sh-qyRDfe9Ajsv5dKREoSXlNY7CWYnY;40,8213;14,185
123;Afragola;Napoli;S. Antonio;43;Cinnamomum canphora;Canfora;25;http://agricoltura.regione.campania.it/foreste/monum/scheda_121.html;https://lh6.googleusercontent.com/Hmxtk7ZGSAUT1nC64k-x_7oYE92A8kLh_Da7ioRSVk4BLpKyJ3LH_A5_UNxT6BXx-psFEqRSs4f4mHY3clt_0mfTrRZGUMm_lUNgeA49JMMqdPId3mgjX5-Su94r600;40,9192;14,3068
124;Agerola;Napoli;S. Lazzaro - colonia montana;400;Castanea sativa;Castagno;10;http://agricoltura.regione.campania.it/foreste/monum/scheda_122.html;https://lh4.googleusercontent.com/3nYAf2XWNbbgMpc3qm-uR-sGNqiggMAMM88hQrFSEVjAkZ8iTrvbyeBjktbZoySnuCIF_YmRKhNUOnBSz5rx343-jMsAjchS5bbs1HLtCXeFLm7FsvgIJIKYQZKeaTDK;40,6242;14,5644
125;Sant'Anastasia;Napoli;Parco urbano;150;Quercus ilex;Leccio;15;http://agricoltura.regione.campania.it/foreste/monum/scheda_123.html;https://lh3.googleusercontent.com/yDp7fIJv0rGbY2vCwj6gjshPey5Lzaek85YIGKOLX6XP1hT-MOSw2PzPjckLHDnlfq9BQCk5dj8qUbItgKyxCPOzHEIF8an9miAJ6Qnn4KGggxx18smLN2wA1db_a5uF;40,872;14,3837
126;S. Anastasia;Napoli;Parco Urbano;150;Quercus ilex;Leccio;15;http://agricoltura.regione.campania.it/foreste/monum/scheda_124.html;https://lh5.googleusercontent.com/cta8cgJuaSW9VI21LXZITfk6H83YdBklSCoxP-dFVEIEwopqp6Pgq0oaOwYEhn6waYML66k5K8A3JGt1XuQbwzeR4gMTwV0JxPTUvzjFEQV338hRJCQBhWfhbBEA8MM;40,872;14,3837
127;S. Anastasia;Napoli;Parco urbano;150;Quercus ilex;Leccio;13;http://agricoltura.regione.campania.it/foreste/monum/scheda_125.html;https://lh6.googleusercontent.com/w8Z1y4Mw8L70mHHNCP6hxioQyb7rypBRWbxzAq38fvGmKngOqa9OJzC7MCarIJpH9WlgY6AdsXpo_cisn_vyzkZ1A_Z2J85ALJq1YYBBTMce23pinSn3AWmgcwhEowN6;40,8719;14,3837
128;Castellammare di Stabia;Napoli;Villa comunale;0;Pinus pinea;Pino domestico;15;http://agricoltura.regione.campania.it/foreste/monum/scheda_126.html;https://lh4.googleusercontent.com/eJIsxg72LfpRBQw4nvPf8I8ePnlDMQaVGTzYxUuy-GSCe490IvSf_gbdsbjG9XPyhsikRqYOIC3-It0qzDx8JvVxG9YhzGamBrkpXw4wFGkBtipqZa6JY7jn3xV9Xa85tQ;40,696;14,48
129;Castellammare di Stabia;Napoli;Villa comunale;0;Araucaria araucana  ;Araucaria;30;http://agricoltura.regione.campania.it/foreste/monum/scheda_127.html;https://lh4.googleusercontent.com/Apq7BKHZsVqOTcMM8gxmuOVR0QHNwuxKkfvlw2O_U-R7P3cWxtv1pLYjPgN_-FjwBmmVAD4c8JadnqT0SJujjDIcJAE-fOUqWHZ4xOzzImxZ8YHoTHJ3KXrUmxb8DPrc;40,6955;14,4804
130;Castellammare di Stabia;Napoli;Villa comunale;0;Ginkgo biloba;Ginkgo;25;http://agricoltura.regione.campania.it/foreste/monum/scheda_128.html;https://lh6.googleusercontent.com/z6nPsRiev56s-JNjUwB9L8AWComoEzPtsgT2pYBu8mXHZmdwohbui-Tu3HDeGpTMYIWP8D7OXSm9TklgSl091uC8aIR1papKfzF1rNE1CyFBqwf8ed8TvtJQlco-kArM9w;40,6956;14,4805
131;Castellammare di Stabia;Napoli;Villa comunale;0;Magnolia grandiflora;Magnolia;18;http://agricoltura.regione.campania.it/foreste/monum/scheda_129.html;https://lh5.googleusercontent.com/rvF-NKeHUyaQVyHJJDQ6y88pMvLeFFpGkp2cGLI5wASnVtA-JYwvOvKtBShf7Umcl3P8t7yVySwIoJLc29BgxQbVdm4TLS5gmWYWnaGDpBHPp4B3_v_mV05366hbh3q3Qg;40,6955;14,4803
132;Castellammare di Stabia;Napoli;Villa comunale;0;Phoenix canariensis;Palma delle Canarie;22;http://agricoltura.regione.campania.it/foreste/monum/scheda_130.html;https://lh6.googleusercontent.com/f5CdGnwZ4LRj04_OQ8LYqBczIVCZw3N8lPyjBz4-skxRSwEEBFFhE4kq0vjpnKJCdXpUPl_zgi_vxMetFqbtnAVMBmzhU84G_MjWubY9QdZIBPnYfQCZSc1z7EG3steLcA;40,6955;14,4802
133;Cava de' Tirreni;Salerno;Villa comunale;207;Pinus pinea;Pino domestico;24;http://agricoltura.regione.campania.it/foreste/monum/scheda_131.html;https://lh4.googleusercontent.com/pPjIDQNLQlcN_2HsxmssvkQtfgsthuoauBibW8-YjFyQ1g9wlJNtVNWmvwNrPujUyaqaW6yYx21BfMZSD12K2M0lYi1KckUDYoTkhCxDRhryVPxoHpuqmfLxNMfHjFnF;40,7006;14,7048
134;Agropoli;Salerno;Castello aragonese;72;Olea europaea;Olivo;10;http://agricoltura.regione.campania.it/foreste/monum/scheda_132.html;https://lh3.googleusercontent.com/L4yThxjk29g11ZuhVdS61FLN8vHX8Mpn6TILKMFQdInoGjhfODXpS93tr3gFQ9_13jURQM2opiQOxkvAZOlK7Ndqtdzi6qpoUI6CwkXbPD33rd9_mMwjOFlZLjEZdqo;40,3531;14,9887
135;Capaccio - Paestum;Salerno;Via Monticello;362;Olea europaea;Olivo;8;http://agricoltura.regione.campania.it/foreste/monum/scheda_133.html;https://lh6.googleusercontent.com/sg6y6KmORC-27I-Jgw24H-MhuqfMD3xEXy8uYpmsM5qhEOJKsrQIqhDrrZKMvhD1njN7Ek_fRG5XTZhYB7HlR4kclh7ldhiKJNQobVfCmbpE_1HchB1G1nI6Yhym69A;40,4213;15,0791
