Fid;NAME;PROVINCIA;LOCALITA;ALTITUDINE;NOME_SCIENTIFICO;NOME_VOLGARE;ALTEZZA;SCHEDA;gx_media_l;LATITUDINE;LONGITUDINE
46;Piano di Sorrento;Napoli;Vallone S. Giuseppe;240;Quercus petraea;Rovere;16;http://agricoltura.regione.campania.it/foreste/monum/scheda_46.html;https://lh5.googleusercontent.com/fR90jU1TGr_7LXdbEUORgjDXzeO0g58cPm21AfA8DGBH50jxtjjw9SWAsQ7a0RJUFApssyI-ci9EnBoUlWjb2xZlpeF6tIoPTLuDcEtL8oOQci5UftuXyLoUPhcw3sQ;40,6208;14,4242
47;Caserta;Caserta;Caserta;68;Liriodendron tulipifera;Albero dei tulipani;18;http://agricoltura.regione.campania.it/foreste/monum/scheda_47.html;https://lh4.googleusercontent.com/BVwCiBg1ZV3XNPxbitrUOumgAy8EZxD2FjVS2HEyy2XnUAA6im-JVio9cOtEDqa5qFSPjVl14rRC5xJ-vTMedRpSseR4EVJij9BopW5Hxk1_3hbNuh3JJyvz9VPi1cRL-Q;41,1441;14,5735
48;Caserta;Caserta;Caserta;68;Araucaria araucana;Auracaria del Cile;25;http://agricoltura.regione.campania.it/foreste/monum/scheda_48.html;https://lh4.googleusercontent.com/0Qc1Yf8GODWpXGbGOahYiX6JYQ6tEF63Gu8dWL6e-b3K5d7XKWq_WDYK4JtVXYUXpyAGvBmdNJWKv8toZS-z_mGGzoMjDmfsG22Nv2OyU4Ulo426Fe_ZHTSz-YyDQOLU;41,075;14,332
49;Caserta;Caserta;Caserta;68;Casuarina equisetifolia;Casuarina;15;http://agricoltura.regione.campania.it/foreste/monum/scheda_49.html;https://lh5.googleusercontent.com/Fb-NIGIURY37K0EK0eGcahAQGmkS-b18Rla9WeMRWbniZOlJ0M5tYwxlXc4yyq0vaJKiI18Sa5BwgKJnYEWkvyJMkY0rlh1oNgLQCwT7E9qh7jVpnrbuEbnCsL9xG6M;41,0755;14,3324
50;Caserta;Caserta;Caserta;68;"Taxus baccata;;;;;;
51;";Tasso;12;http://agricoltura.regione.campania.it/foreste/monum/scheda_50.html;https://lh3.googleusercontent.com/yJ0G3_2dYM-spapUrBgIJJYPbaNyUZboS7kyi7jVNLhvfYEuub3UAWOA4c7NzJzAPWFc2nf0KghjLs1AHPwQ9hkhIDkOInfxbKWouSwACpSoyUErxtKxFBsY9KB5Pi4;41,0842;14,3358;;;;
52;Caserta - loc. Casola;Caserta;Casola;333;"Cupressus sempervirens;;;;;;
53;";Cipresso comune;16;http://agricoltura.regione.campania.it/foreste/monum/scheda_51.html;https://lh3.googleusercontent.com/Vln_X53osQ5ZVex-xq0gZzJ6KdoNLeXS8d6DMfSTG050aSXOt6yyVTsHdZjBgPGepcgLWdPEN--cFAKeMdvfLTY0ZuaIrxSpHR9eVZUNQj4yKrneLLona4rr-H3HUwTi;41,164;14,6505;;;;
54;Teora;Avellino;Viale della Vittoria;650;Quercus Ilex;Leccio;7;http://agricoltura.regione.campania.it/foreste/monum/scheda_52.html;https://lh3.googleusercontent.com/3TXk9sZYZ_wrZEVCX-hcfKN-iiooyXp7TAaGOJfpPTOHLQpAb21x9jrznREEpWuBUtl-Z32vrc3FSlk5VC5o-B8MPOuNNKyiKFulJrU9e62fckhBWOn6_XHg6vFseSFf;40,8521;15,2531
55;Pompei;Napoli;Zona archeologica;15;Winstaria sinensis;Glicine;15;http://agricoltura.regione.campania.it/foreste/monum/scheda_53.html;https://lh5.googleusercontent.com/UOQiX93SIot-sm1NsJAaMvkPy6O21skAI_6BoR_hRHLZiISQIiVkWXnd4bm37COE6-I1paD99UvPa5baIyr9a8ePYtHw_qtyaM7oSYTSwAxlvnRjrdsu9QjpGFlArz-4BQ;40,7467;14,4854
