strada,desvia,percorso,lato,tratto,note,data pulizia,orario pulizia inizio,orario pulizia fine,divieto di sosta inizio,divieto di sosta fine,data posizionamento segnaletica,data prima pubblicazione,data aggiornamento
1070,PIAZZA DELLE ERBE,6,entrambi,,,19/05/21,20.15,4.00,19.00,5.00,17/05/21,07/04/21,
980,VIA C. DORDI,6,entrambi,,,19/05/21,20.15,4.00,19.00,5.00,17/05/21,07/04/21,
1230,VIA G. GARIBALDI,5,entrambi,da incrocio Piazza Duomo a incrocio Piazza Pasi,,19/05/21,20.15,4.00,19.00,5.00,17/05/21,07/04/21,
1700,VIA G. MANCI,5,entrambi,da incrocio Via R. Belenzani a incrocio Via V. Alfieri,,19/05/21,20.15,4.00,19.00,5.00,17/05/21,07/04/21,
1700,VIA G. MANCI,6,entrambi,da  incrocio Via V. Alfieri a incrocio Via San Pietro,,19/05/21,20.15,4.00,19.00,5.00,17/05/21,07/04/21,
1710,VIA MANTOVA,6,entrambi,,,19/05/21,20.15,4.00,19.00,5.00,17/05/21,07/04/21,
2480,PIAZZA DELLA PORTELLA,5,entrambi,,,19/05/21,20.15,4.00,19.00,5.00,17/05/21,07/04/21,
2860,VIA SAN PIETRO,6,entrambi,,,19/05/21,20.15,4.00,19.00,5.00,17/05/21,07/04/21,
2910,VIA DEL SIMONINO,6,entrambi,,,19/05/21,20.15,4.00,19.00,5.00,17/05/21,07/04/21,
3490,P.ZZA ALESSANDRO VITTORIA,6,entrambi,,,19/05/21,20.15,4.00,19.00,5.00,17/05/21,07/04/21,
1200,VIA G. GALILEI,6,entrambi,,,19/05/21,20.15,4.00,19.00,5.00,17/05/21,07/04/21,
90,VIA V. ALFIERI,5,entrambi,,,19/05/21,20.15,4.00,19.00,5.00,17/05/21,07/04/21,
680,VIA CAMILLO BENSO CAVOUR,5,entrambi,,,19/05/21,20.15,4.00,19.00,5.00,17/05/21,07/04/21,
1550,PIAZZA LODRON,5,entrambi,,,19/05/21,20.15,4.00,19.00,5.00,17/05/21,07/04/21,
2110,VIA DELLE ORFANE,5,entrambi,,,19/05/21,20.15,4.00,19.00,5.00,17/05/21,07/04/21,
2490,VIA A. POZZO,5,entrambi,,,19/05/21,20.15,4.00,19.00,5.00,17/05/21,07/04/21,
2610,VIA ROCCABRUNA,6,entrambi,,,19/05/21,20.15,4.00,19.00,5.00,17/05/21,07/04/21,
2640,VIA ROMA,5,entrambi,,,19/05/21,20.15,4.00,19.00,5.00,17/05/21,07/04/21,
2770,VIA SAN GIOVANNI,5,entrambi,,,19/05/21,20.15,4.00,19.00,5.00,17/05/21,07/04/21,
2800,VIA SAN MARCO,6,entrambi,,,19/05/21,20.15,4.00,19.00,5.00,17/05/21,07/04/21,
2990,PIAZZA S. MARIA MAGGIORE,5,entrambi,,,19/05/21,20.15,4.00,19.00,5.00,17/05/21,07/04/21,
610,LARGO G. CARDUCCI,6,entrambi,,,19/05/21,20.15,4.00,19.00,5.00,17/05/21,07/04/21,
240,VIA R. BELENZANI,5,entrambi,,,19/05/21,20.15,4.00,19.00,5.00,17/05/21,07/04/21,
230,PIAZZA C. BATTISTI,6,entrambi,,,19/05/21,20.15,4.00,19.00,5.00,17/05/21,07/04/21,
1840,VIA G. MAZZINI,7,entrambi,,,20/05/21,20.15,4.00,19.00,5.00,18/05/21,07/04/21,
1080,VIA C. ESTERLE,7,entrambi,,,20/05/21,20.15,4.00,19.00,5.00,18/05/21,07/04/21,
1130,PIAZZA DI FIERA,7,entrambi,,,20/05/21,20.15,4.00,19.00,5.00,18/05/21,07/04/21,
1620,VIA A. MAFFEI,7,entrambi,,,20/05/21,20.15,4.00,19.00,5.00,18/05/21,07/04/21,
2160,VIA DEGLI ORTI,7,entrambi,,,20/05/21,20.15,4.00,19.00,5.00,18/05/21,07/04/21,
2510,VIA G. PRATI,7,entrambi,,,20/05/21,20.15,4.00,19.00,5.00,18/05/21,07/04/21,
3000,VIA SANTA TRINITA',7,entrambi,,,20/05/21,20.15,4.00,19.00,5.00,18/05/21,07/04/21,
3320,VIA AL TORRIONE,7,entrambi,,,20/05/21,20.15,4.00,19.00,5.00,18/05/21,07/04/21,
390,VIA G. BORSIERI,7,entrambi,,,20/05/21,20.15,4.00,19.00,5.00,18/05/21,07/04/21,
530,VIA CALEPINA,7,entrambi,,,20/05/21,20.15,4.00,19.00,5.00,18/05/21,07/04/21,
1230,VIA G. GARIBALDI,7,entrambi,,,20/05/21,20.15,4.00,19.00,5.00,18/05/21,07/04/21,
1260,PIAZZA G.B. GARZETTI,7,entrambi,,,20/05/21,20.15,4.00,19.00,5.00,18/05/21,07/04/21,
3440,VIA G. VERDI,7,entrambi,da  incrocio Via A. Rosmini a Piazza Duomo,,20/05/21,20.15,4.00,19.00,5.00,18/05/21,07/04/21,
2970,VIA S. MARIA MADDALENA,7,entrambi,,,20/05/21,20.15,4.00,19.00,5.00,18/05/21,07/04/21,
1110,VIA F. FERRUCCIO,7,entrambi,,,20/05/21,20.15,4.00,19.00,5.00,18/05/21,07/04/21,
1750,VIA L. MARCHETTI,7,entrambi,,,20/05/21,20.15,4.00,19.00,5.00,18/05/21,07/04/21,
