Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2019-05-04,1,17,µg/mc
"Parco S. Chiara",PM10,2019-05-04,2,19,µg/mc
"Parco S. Chiara",PM10,2019-05-04,3,17,µg/mc
"Parco S. Chiara",PM10,2019-05-04,4,15,µg/mc
"Parco S. Chiara",PM10,2019-05-04,5,13,µg/mc
"Parco S. Chiara",PM10,2019-05-04,6,13,µg/mc
"Parco S. Chiara",PM10,2019-05-04,7,13,µg/mc
"Parco S. Chiara",PM10,2019-05-04,8,18,µg/mc
"Parco S. Chiara",PM10,2019-05-04,9,17,µg/mc
"Parco S. Chiara",PM10,2019-05-04,10,12,µg/mc
"Parco S. Chiara",PM10,2019-05-04,11,6,µg/mc
"Parco S. Chiara",PM10,2019-05-04,12,4,µg/mc
"Parco S. Chiara",PM10,2019-05-04,13,4,µg/mc
"Parco S. Chiara",PM10,2019-05-04,14,4,µg/mc
"Parco S. Chiara",PM10,2019-05-04,15,4,µg/mc
"Parco S. Chiara",PM10,2019-05-04,16,5,µg/mc
"Parco S. Chiara",PM10,2019-05-04,17,4,µg/mc
"Parco S. Chiara",PM10,2019-05-04,18,5,µg/mc
"Parco S. Chiara",PM10,2019-05-04,19,8,µg/mc
"Parco S. Chiara",PM10,2019-05-04,20,11,µg/mc
"Parco S. Chiara",PM10,2019-05-04,21,13,µg/mc
"Parco S. Chiara",PM10,2019-05-04,22,11,µg/mc
"Parco S. Chiara",PM10,2019-05-04,23,7,µg/mc
"Parco S. Chiara",PM10,2019-05-04,24,3,µg/mc
"Parco S. Chiara",PM10,2019-05-05,1,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,2,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,3,1,µg/mc
"Parco S. Chiara",PM10,2019-05-05,4,1,µg/mc
"Parco S. Chiara",PM10,2019-05-05,5,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,6,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,7,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,8,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,9,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,10,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,11,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,12,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,13,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,14,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,15,1,µg/mc
"Parco S. Chiara",PM10,2019-05-05,16,1,µg/mc
"Parco S. Chiara",PM10,2019-05-05,17,1,µg/mc
"Parco S. Chiara",PM10,2019-05-05,18,1,µg/mc
"Parco S. Chiara",PM10,2019-05-05,19,1,µg/mc
"Parco S. Chiara",PM10,2019-05-05,20,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,21,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,22,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,23,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,24,2,µg/mc
"Parco S. Chiara",PM10,2019-05-06,1,3,µg/mc
"Parco S. Chiara",PM10,2019-05-06,2,5,µg/mc
"Parco S. Chiara",PM10,2019-05-06,3,5,µg/mc
"Parco S. Chiara",PM10,2019-05-06,4,5,µg/mc
"Parco S. Chiara",PM10,2019-05-06,5,5,µg/mc
"Parco S. Chiara",PM10,2019-05-06,6,5,µg/mc
"Parco S. Chiara",PM10,2019-05-06,7,5,µg/mc
"Parco S. Chiara",PM10,2019-05-06,8,4,µg/mc
"Parco S. Chiara",PM10,2019-05-06,9,3,µg/mc
"Parco S. Chiara",PM10,2019-05-06,10,3,µg/mc
"Parco S. Chiara",PM10,2019-05-06,11,3,µg/mc
"Parco S. Chiara",PM10,2019-05-06,12,3,µg/mc
"Parco S. Chiara",PM10,2019-05-06,13,3,µg/mc
"Parco S. Chiara",PM10,2019-05-06,14,2,µg/mc
"Parco S. Chiara",PM10,2019-05-06,15,3,µg/mc
"Parco S. Chiara",PM10,2019-05-06,16,3,µg/mc
"Parco S. Chiara",PM10,2019-05-06,17,4,µg/mc
"Parco S. Chiara",PM10,2019-05-06,18,5,µg/mc
"Parco S. Chiara",PM10,2019-05-06,19,5,µg/mc
"Parco S. Chiara",PM10,2019-05-06,20,6,µg/mc
"Parco S. Chiara",PM10,2019-05-06,21,6,µg/mc
"Parco S. Chiara",PM10,2019-05-06,22,6,µg/mc
"Parco S. Chiara",PM10,2019-05-06,23,6,µg/mc
"Parco S. Chiara",PM10,2019-05-06,24,6,µg/mc
"Parco S. Chiara",PM10,2019-05-07,1,7,µg/mc
"Parco S. Chiara",PM10,2019-05-07,2,9,µg/mc
"Parco S. Chiara",PM10,2019-05-07,3,10,µg/mc
"Parco S. Chiara",PM10,2019-05-07,4,9,µg/mc
"Parco S. Chiara",PM10,2019-05-07,5,12,µg/mc
"Parco S. Chiara",PM10,2019-05-07,6,16,µg/mc
"Parco S. Chiara",PM10,2019-05-07,7,19,µg/mc
"Parco S. Chiara",PM10,2019-05-07,8,20,µg/mc
"Parco S. Chiara",PM10,2019-05-07,9,18,µg/mc
"Parco S. Chiara",PM10,2019-05-07,10,12,µg/mc
"Parco S. Chiara",PM10,2019-05-07,11,9,µg/mc
"Parco S. Chiara",PM10,2019-05-07,12,9,µg/mc
"Parco S. Chiara",PM10,2019-05-07,13,11,µg/mc
"Parco S. Chiara",PM10,2019-05-07,14,12,µg/mc
"Parco S. Chiara",PM10,2019-05-07,15,14,µg/mc
"Parco S. Chiara",PM10,2019-05-07,16,16,µg/mc
"Parco S. Chiara",PM10,2019-05-07,17,15,µg/mc
"Parco S. Chiara",PM10,2019-05-07,18,16,µg/mc
"Parco S. Chiara",PM10,2019-05-07,19,18,µg/mc
"Parco S. Chiara",PM10,2019-05-07,20,21,µg/mc
"Parco S. Chiara",PM10,2019-05-07,21,22,µg/mc
"Parco S. Chiara",PM10,2019-05-07,22,20,µg/mc
"Parco S. Chiara",PM10,2019-05-07,23,22,µg/mc
"Parco S. Chiara",PM10,2019-05-07,24,22,µg/mc
"Parco S. Chiara",PM10,2019-05-08,1,25,µg/mc
"Parco S. Chiara",PM10,2019-05-08,2,27,µg/mc
"Parco S. Chiara",PM10,2019-05-08,3,23,µg/mc
"Parco S. Chiara",PM10,2019-05-08,4,25,µg/mc
"Parco S. Chiara",PM10,2019-05-08,5,24,µg/mc
"Parco S. Chiara",PM10,2019-05-08,6,25,µg/mc
"Parco S. Chiara",PM10,2019-05-08,7,25,µg/mc
"Parco S. Chiara",PM10,2019-05-08,8,27,µg/mc
"Parco S. Chiara",PM10,2019-05-08,9,27,µg/mc
"Parco S. Chiara",PM10,2019-05-08,10,28,µg/mc
"Parco S. Chiara",PM10,2019-05-08,11,28,µg/mc
"Parco S. Chiara",PM10,2019-05-08,12,23,µg/mc
"Parco S. Chiara",PM10,2019-05-08,13,20,µg/mc
"Parco S. Chiara",PM10,2019-05-08,14,19,µg/mc
"Parco S. Chiara",PM10,2019-05-08,15,20,µg/mc
"Parco S. Chiara",PM10,2019-05-08,16,17,µg/mc
"Parco S. Chiara",PM10,2019-05-08,17,14,µg/mc
"Parco S. Chiara",PM10,2019-05-08,18,6,µg/mc
"Parco S. Chiara",PM10,2019-05-08,19,4,µg/mc
"Parco S. Chiara",PM10,2019-05-08,20,5,µg/mc
"Parco S. Chiara",PM10,2019-05-08,21,5,µg/mc
"Parco S. Chiara",PM10,2019-05-08,22,6,µg/mc
"Parco S. Chiara",PM10,2019-05-08,23,8,µg/mc
"Parco S. Chiara",PM10,2019-05-08,24,10,µg/mc
"Parco S. Chiara",PM10,2019-05-09,1,10,µg/mc
"Parco S. Chiara",PM10,2019-05-09,2,11,µg/mc
"Parco S. Chiara",PM10,2019-05-09,3,12,µg/mc
"Parco S. Chiara",PM10,2019-05-09,4,10,µg/mc
"Parco S. Chiara",PM10,2019-05-09,5,11,µg/mc
"Parco S. Chiara",PM10,2019-05-09,6,10,µg/mc
"Parco S. Chiara",PM10,2019-05-09,7,11,µg/mc
"Parco S. Chiara",PM10,2019-05-09,8,13,µg/mc
"Parco S. Chiara",PM10,2019-05-09,9,13,µg/mc
"Parco S. Chiara",PM10,2019-05-09,10,10,µg/mc
"Parco S. Chiara",PM10,2019-05-09,11,4,µg/mc
"Parco S. Chiara",PM10,2019-05-09,12,3,µg/mc
"Parco S. Chiara",PM10,2019-05-09,13,2,µg/mc
"Parco S. Chiara",PM10,2019-05-09,14,1,µg/mc
"Parco S. Chiara",PM10,2019-05-09,15,2,µg/mc
"Parco S. Chiara",PM10,2019-05-09,16,6,µg/mc
"Parco S. Chiara",PM10,2019-05-09,17,8,µg/mc
"Parco S. Chiara",PM10,2019-05-09,18,11,µg/mc
"Parco S. Chiara",PM10,2019-05-09,19,20,µg/mc
"Parco S. Chiara",PM10,2019-05-09,20,26,µg/mc
"Parco S. Chiara",PM10,2019-05-09,21,23,µg/mc
"Parco S. Chiara",PM10,2019-05-09,22,20,µg/mc
"Parco S. Chiara",PM10,2019-05-09,23,19,µg/mc
"Parco S. Chiara",PM10,2019-05-09,24,18,µg/mc
"Parco S. Chiara",PM10,2019-05-10,1,15,µg/mc
"Parco S. Chiara",PM10,2019-05-10,2,15,µg/mc
"Parco S. Chiara",PM10,2019-05-10,3,14,µg/mc
"Parco S. Chiara",PM10,2019-05-10,4,17,µg/mc
"Parco S. Chiara",PM10,2019-05-10,5,14,µg/mc
"Parco S. Chiara",PM10,2019-05-10,6,15,µg/mc
"Parco S. Chiara",PM10,2019-05-10,7,16,µg/mc
"Parco S. Chiara",PM10,2019-05-10,8,12,µg/mc
"Parco S. Chiara",PM10,2019-05-10,9,13,µg/mc
"Parco S. Chiara",PM10,2019-05-10,10,11,µg/mc
"Parco S. Chiara",PM10,2019-05-10,11,9,µg/mc
"Parco S. Chiara",PM10,2019-05-10,12,10,µg/mc
"Parco S. Chiara",PM10,2019-05-10,13,9,µg/mc
"Parco S. Chiara",PM10,2019-05-10,14,10,µg/mc
"Parco S. Chiara",PM10,2019-05-10,15,12,µg/mc
"Parco S. Chiara",PM10,2019-05-10,16,12,µg/mc
"Parco S. Chiara",PM10,2019-05-10,17,14,µg/mc
"Parco S. Chiara",PM10,2019-05-10,18,12,µg/mc
"Parco S. Chiara",PM10,2019-05-10,19,18,µg/mc
"Parco S. Chiara",PM10,2019-05-10,20,27,µg/mc
"Parco S. Chiara",PM10,2019-05-10,21,29,µg/mc
"Parco S. Chiara",PM10,2019-05-10,22,28,µg/mc
"Parco S. Chiara",PM10,2019-05-10,23,22,µg/mc
"Parco S. Chiara",PM10,2019-05-10,24,21,µg/mc
"Parco S. Chiara",PM10,2019-05-11,1,20,µg/mc
"Parco S. Chiara",PM10,2019-05-11,2,19,µg/mc
"Parco S. Chiara",PM10,2019-05-11,3,20,µg/mc
"Parco S. Chiara",PM10,2019-05-11,4,21,µg/mc
"Parco S. Chiara",PM10,2019-05-11,5,23,µg/mc
"Parco S. Chiara",PM10,2019-05-11,6,24,µg/mc
"Parco S. Chiara",PM10,2019-05-11,7,23,µg/mc
"Parco S. Chiara",PM10,2019-05-11,8,23,µg/mc
"Parco S. Chiara",PM10,2019-05-11,9,24,µg/mc
"Parco S. Chiara",PM10,2019-05-11,10,25,µg/mc
"Parco S. Chiara",PM10,2019-05-11,11,30,µg/mc
"Parco S. Chiara",PM10,2019-05-11,12,33,µg/mc
"Parco S. Chiara",PM10,2019-05-11,13,33,µg/mc
"Parco S. Chiara",PM10,2019-05-11,14,30,µg/mc
"Parco S. Chiara",PM10,2019-05-11,15,37,µg/mc
"Parco S. Chiara",PM10,2019-05-11,16,34,µg/mc
"Parco S. Chiara",PM10,2019-05-11,17,21,µg/mc
"Parco S. Chiara",PM10,2019-05-11,18,17,µg/mc
"Parco S. Chiara",PM10,2019-05-11,19,18,µg/mc
"Parco S. Chiara",PM10,2019-05-11,20,3,µg/mc
"Parco S. Chiara",PM10,2019-05-11,21,2,µg/mc
"Parco S. Chiara",PM10,2019-05-11,22,2,µg/mc
"Parco S. Chiara",PM10,2019-05-11,23,2,µg/mc
"Parco S. Chiara",PM10,2019-05-11,24,1,µg/mc
"Parco S. Chiara",PM10,2019-05-12,1,1,µg/mc
"Parco S. Chiara",PM10,2019-05-12,2,1,µg/mc
"Parco S. Chiara",PM10,2019-05-12,3,2,µg/mc
"Parco S. Chiara",PM10,2019-05-12,4,1,µg/mc
"Parco S. Chiara",PM10,2019-05-12,5,1,µg/mc
"Parco S. Chiara",PM10,2019-05-12,6,1,µg/mc
"Parco S. Chiara",PM10,2019-05-12,7,1,µg/mc
"Parco S. Chiara",PM10,2019-05-12,8,1,µg/mc
"Parco S. Chiara",PM10,2019-05-12,9,1,µg/mc
"Parco S. Chiara",PM10,2019-05-12,10,1,µg/mc
"Parco S. Chiara",PM10,2019-05-12,11,1,µg/mc
"Parco S. Chiara",PM10,2019-05-12,12,1,µg/mc
"Parco S. Chiara",PM10,2019-05-12,13,1,µg/mc
"Parco S. Chiara",PM10,2019-05-12,14,1,µg/mc
"Parco S. Chiara",PM10,2019-05-12,15,1,µg/mc
"Parco S. Chiara",PM10,2019-05-12,16,1,µg/mc
"Parco S. Chiara",PM10,2019-05-12,17,1,µg/mc
"Parco S. Chiara",PM10,2019-05-12,18,1,µg/mc
"Parco S. Chiara",PM10,2019-05-12,19,1,µg/mc
"Parco S. Chiara",PM10,2019-05-12,20,1,µg/mc
"Parco S. Chiara",PM10,2019-05-12,21,1,µg/mc
"Parco S. Chiara",PM10,2019-05-12,22,1,µg/mc
"Parco S. Chiara",PM10,2019-05-12,23,1,µg/mc
"Parco S. Chiara",PM10,2019-05-12,24,1,µg/mc
"Parco S. Chiara",PM10,2019-05-13,1,1,µg/mc
"Parco S. Chiara",PM10,2019-05-13,2,1,µg/mc
"Parco S. Chiara",PM10,2019-05-13,3,1,µg/mc
"Parco S. Chiara",PM10,2019-05-13,4,2,µg/mc
"Parco S. Chiara",PM10,2019-05-13,5,2,µg/mc
"Parco S. Chiara",PM10,2019-05-13,6,4,µg/mc
"Parco S. Chiara",PM10,2019-05-13,7,3,µg/mc
"Parco S. Chiara",PM10,2019-05-13,8,2,µg/mc
"Parco S. Chiara",PM10,2019-05-13,9,2,µg/mc
"Parco S. Chiara",PM10,2019-05-13,10,2,µg/mc
"Parco S. Chiara",PM10,2019-05-13,11,2,µg/mc
"Parco S. Chiara",PM10,2019-05-13,12,3,µg/mc
"Parco S. Chiara",PM10,2019-05-13,13,3,µg/mc
"Parco S. Chiara",PM10,2019-05-13,14,3,µg/mc
"Parco S. Chiara",PM10,2019-05-13,15,3,µg/mc
"Parco S. Chiara",PM10,2019-05-13,16,3,µg/mc
"Parco S. Chiara",PM10,2019-05-13,17,3,µg/mc
"Parco S. Chiara",PM10,2019-05-13,18,3,µg/mc
"Parco S. Chiara",PM10,2019-05-13,19,4,µg/mc
"Parco S. Chiara",PM10,2019-05-13,20,4,µg/mc
"Parco S. Chiara",PM10,2019-05-13,21,4,µg/mc
"Parco S. Chiara",PM10,2019-05-13,22,4,µg/mc
"Parco S. Chiara",PM10,2019-05-13,23,4,µg/mc
"Parco S. Chiara",PM10,2019-05-13,24,4,µg/mc
"Parco S. Chiara",PM10,2019-05-14,1,6,µg/mc
"Parco S. Chiara",PM10,2019-05-14,2,8,µg/mc
"Parco S. Chiara",PM10,2019-05-14,3,9,µg/mc
"Parco S. Chiara",PM10,2019-05-14,4,9,µg/mc
"Parco S. Chiara",PM10,2019-05-14,5,8,µg/mc
"Parco S. Chiara",PM10,2019-05-14,6,8,µg/mc
"Parco S. Chiara",PM10,2019-05-14,7,9,µg/mc
"Parco S. Chiara",PM10,2019-05-14,8,8,µg/mc
"Parco S. Chiara",PM10,2019-05-14,9,8,µg/mc
"Parco S. Chiara",PM10,2019-05-14,10,7,µg/mc
"Parco S. Chiara",PM10,2019-05-14,11,6,µg/mc
"Parco S. Chiara",PM10,2019-05-14,12,5,µg/mc
"Parco S. Chiara",PM10,2019-05-14,13,5,µg/mc
"Parco S. Chiara",PM10,2019-05-14,14,5,µg/mc
"Parco S. Chiara",PM10,2019-05-14,15,6,µg/mc
"Parco S. Chiara",PM10,2019-05-14,16,6,µg/mc
"Parco S. Chiara",PM10,2019-05-14,17,6,µg/mc
"Parco S. Chiara",PM10,2019-05-14,18,6,µg/mc
"Parco S. Chiara",PM10,2019-05-14,19,6,µg/mc
"Parco S. Chiara",PM10,2019-05-14,20,7,µg/mc
"Parco S. Chiara",PM10,2019-05-14,21,7,µg/mc
"Parco S. Chiara",PM10,2019-05-14,22,6,µg/mc
"Parco S. Chiara",PM10,2019-05-14,23,5,µg/mc
"Parco S. Chiara",PM10,2019-05-14,24,5,µg/mc
"Parco S. Chiara",PM10,2019-05-15,1,6,µg/mc
"Parco S. Chiara",PM10,2019-05-15,2,6,µg/mc
"Parco S. Chiara",PM10,2019-05-15,3,5,µg/mc
"Parco S. Chiara",PM10,2019-05-15,4,5,µg/mc
"Parco S. Chiara",PM10,2019-05-15,5,5,µg/mc
"Parco S. Chiara",PM10,2019-05-15,6,5,µg/mc
"Parco S. Chiara",PM10,2019-05-15,7,5,µg/mc
"Parco S. Chiara",PM10,2019-05-15,8,4,µg/mc
"Parco S. Chiara",PM10,2019-05-15,9,3,µg/mc
"Parco S. Chiara",PM10,2019-05-15,10,3,µg/mc
"Parco S. Chiara",PM10,2019-05-15,11,3,µg/mc
"Parco S. Chiara",PM10,2019-05-15,12,4,µg/mc
"Parco S. Chiara",PM10,2019-05-15,13,6,µg/mc
"Parco S. Chiara",PM10,2019-05-15,14,6,µg/mc
"Parco S. Chiara",PM10,2019-05-15,15,6,µg/mc
"Parco S. Chiara",PM10,2019-05-15,16,6,µg/mc
"Parco S. Chiara",PM10,2019-05-15,17,7,µg/mc
"Parco S. Chiara",PM10,2019-05-15,18,8,µg/mc
"Parco S. Chiara",PM10,2019-05-15,19,13,µg/mc
"Parco S. Chiara",PM10,2019-05-15,20,15,µg/mc
"Parco S. Chiara",PM10,2019-05-15,21,17,µg/mc
"Parco S. Chiara",PM10,2019-05-15,22,18,µg/mc
"Parco S. Chiara",PM10,2019-05-15,23,17,µg/mc
"Parco S. Chiara",PM10,2019-05-15,24,17,µg/mc
"Parco S. Chiara",PM10,2019-05-16,1,21,µg/mc
"Parco S. Chiara",PM10,2019-05-16,2,28,µg/mc
"Parco S. Chiara",PM10,2019-05-16,3,32,µg/mc
"Parco S. Chiara",PM10,2019-05-16,4,28,µg/mc
"Parco S. Chiara",PM10,2019-05-16,5,28,µg/mc
"Parco S. Chiara",PM10,2019-05-16,6,26,µg/mc
"Parco S. Chiara",PM10,2019-05-16,7,25,µg/mc
"Parco S. Chiara",PM10,2019-05-16,8,19,µg/mc
"Parco S. Chiara",PM10,2019-05-16,9,15,µg/mc
"Parco S. Chiara",PM10,2019-05-16,10,13,µg/mc
"Parco S. Chiara",PM10,2019-05-16,11,7,µg/mc
"Parco S. Chiara",PM10,2019-05-16,12,3,µg/mc
"Parco S. Chiara",PM10,2019-05-16,13,2,µg/mc
"Parco S. Chiara",PM10,2019-05-16,14,2,µg/mc
"Parco S. Chiara",PM10,2019-05-16,15,3,µg/mc
"Parco S. Chiara",PM10,2019-05-16,16,4,µg/mc
"Parco S. Chiara",PM10,2019-05-16,17,4,µg/mc
"Parco S. Chiara",PM10,2019-05-16,18,6,µg/mc
"Parco S. Chiara",PM10,2019-05-16,19,9,µg/mc
"Parco S. Chiara",PM10,2019-05-16,20,11,µg/mc
"Parco S. Chiara",PM10,2019-05-16,21,12,µg/mc
"Parco S. Chiara",PM10,2019-05-16,22,12,µg/mc
"Parco S. Chiara",PM10,2019-05-16,23,12,µg/mc
"Parco S. Chiara",PM10,2019-05-16,24,13,µg/mc
"Parco S. Chiara",PM10,2019-05-17,1,13,µg/mc
"Parco S. Chiara",PM10,2019-05-17,2,15,µg/mc
"Parco S. Chiara",PM10,2019-05-17,3,17,µg/mc
"Parco S. Chiara",PM10,2019-05-17,4,10,µg/mc
"Parco S. Chiara",PM10,2019-05-17,5,11,µg/mc
"Parco S. Chiara",PM10,2019-05-17,6,13,µg/mc
"Parco S. Chiara",PM10,2019-05-17,7,14,µg/mc
"Parco S. Chiara",PM10,2019-05-17,8,17,µg/mc
"Parco S. Chiara",PM10,2019-05-17,9,19,µg/mc
"Parco S. Chiara",PM10,2019-05-17,10,16,µg/mc
"Parco S. Chiara",PM10,2019-05-17,11,11,µg/mc
"Parco S. Chiara",PM10,2019-05-17,12,8,µg/mc
"Parco S. Chiara",PM10,2019-05-17,13,7,µg/mc
"Parco S. Chiara",PM10,2019-05-17,14,7,µg/mc
"Parco S. Chiara",PM10,2019-05-17,15,8,µg/mc
"Parco S. Chiara",PM10,2019-05-17,16,9,µg/mc
"Parco S. Chiara",PM10,2019-05-17,17,9,µg/mc
"Parco S. Chiara",PM10,2019-05-17,18,9,µg/mc
"Parco S. Chiara",PM10,2019-05-17,19,10,µg/mc
"Parco S. Chiara",PM10,2019-05-17,20,10,µg/mc
"Parco S. Chiara",PM10,2019-05-17,21,13,µg/mc
"Parco S. Chiara",PM10,2019-05-17,22,11,µg/mc
"Parco S. Chiara",PM10,2019-05-17,23,11,µg/mc
"Parco S. Chiara",PM10,2019-05-17,24,9,µg/mc
"Parco S. Chiara",PM10,2019-05-18,1,10,µg/mc
"Parco S. Chiara",PM10,2019-05-18,2,14,µg/mc
"Parco S. Chiara",PM10,2019-05-18,3,15,µg/mc
"Parco S. Chiara",PM10,2019-05-18,4,14,µg/mc
"Parco S. Chiara",PM10,2019-05-18,5,13,µg/mc
"Parco S. Chiara",PM10,2019-05-18,6,11,µg/mc
"Parco S. Chiara",PM10,2019-05-18,7,13,µg/mc
"Parco S. Chiara",PM10,2019-05-18,8,15,µg/mc
"Parco S. Chiara",PM10,2019-05-18,9,15,µg/mc
"Parco S. Chiara",PM10,2019-05-18,10,15,µg/mc
"Parco S. Chiara",PM10,2019-05-18,11,12,µg/mc
"Parco S. Chiara",PM10,2019-05-18,12,10,µg/mc
"Parco S. Chiara",PM10,2019-05-18,13,9,µg/mc
"Parco S. Chiara",PM10,2019-05-18,14,10,µg/mc
"Parco S. Chiara",PM10,2019-05-18,15,11,µg/mc
"Parco S. Chiara",PM10,2019-05-18,16,9,µg/mc
"Parco S. Chiara",PM10,2019-05-18,17,8,µg/mc
"Parco S. Chiara",PM10,2019-05-18,18,9,µg/mc
"Parco S. Chiara",PM10,2019-05-18,19,10,µg/mc
"Parco S. Chiara",PM10,2019-05-18,20,12,µg/mc
"Parco S. Chiara",PM10,2019-05-18,21,13,µg/mc
"Parco S. Chiara",PM10,2019-05-18,22,14,µg/mc
"Parco S. Chiara",PM10,2019-05-18,23,13,µg/mc
"Parco S. Chiara",PM10,2019-05-18,24,17,µg/mc
"Parco S. Chiara",PM10,2019-05-19,1,17,µg/mc
"Parco S. Chiara",PM10,2019-05-19,2,15,µg/mc
"Parco S. Chiara",PM10,2019-05-19,3,13,µg/mc
"Parco S. Chiara",PM10,2019-05-19,4,7,µg/mc
"Parco S. Chiara",PM10,2019-05-19,5,6,µg/mc
"Parco S. Chiara",PM10,2019-05-19,6,4,µg/mc
"Parco S. Chiara",PM10,2019-05-19,7,5,µg/mc
"Parco S. Chiara",PM10,2019-05-19,8,5,µg/mc
"Parco S. Chiara",PM10,2019-05-19,9,5,µg/mc
"Parco S. Chiara",PM10,2019-05-19,10,5,µg/mc
"Parco S. Chiara",PM10,2019-05-19,11,5,µg/mc
"Parco S. Chiara",PM10,2019-05-19,12,4,µg/mc
"Parco S. Chiara",PM10,2019-05-19,13,5,µg/mc
"Parco S. Chiara",PM10,2019-05-19,14,5,µg/mc
"Parco S. Chiara",PM10,2019-05-19,15,5,µg/mc
"Parco S. Chiara",PM10,2019-05-19,16,3,µg/mc
"Parco S. Chiara",PM10,2019-05-19,17,5,µg/mc
"Parco S. Chiara",PM10,2019-05-19,18,5,µg/mc
"Parco S. Chiara",PM10,2019-05-19,19,5,µg/mc
"Parco S. Chiara",PM10,2019-05-19,20,7,µg/mc
"Parco S. Chiara",PM10,2019-05-19,21,10,µg/mc
"Parco S. Chiara",PM10,2019-05-19,22,11,µg/mc
"Parco S. Chiara",PM10,2019-05-19,23,10,µg/mc
"Parco S. Chiara",PM10,2019-05-19,24,11,µg/mc
"Parco S. Chiara",PM10,2019-05-20,1,15,µg/mc
"Parco S. Chiara",PM10,2019-05-20,2,22,µg/mc
"Parco S. Chiara",PM10,2019-05-20,3,20,µg/mc
"Parco S. Chiara",PM10,2019-05-20,4,18,µg/mc
"Parco S. Chiara",PM10,2019-05-20,5,18,µg/mc
"Parco S. Chiara",PM10,2019-05-20,6,14,µg/mc
"Parco S. Chiara",PM10,2019-05-20,7,13,µg/mc
"Parco S. Chiara",PM10,2019-05-20,8,10,µg/mc
"Parco S. Chiara",PM10,2019-05-20,9,6,µg/mc
"Parco S. Chiara",PM10,2019-05-20,10,3,µg/mc
"Parco S. Chiara",PM10,2019-05-20,11,4,µg/mc
"Parco S. Chiara",PM10,2019-05-20,12,6,µg/mc
"Parco S. Chiara",PM10,2019-05-20,13,6,µg/mc
"Parco S. Chiara",PM10,2019-05-20,14,6,µg/mc
"Parco S. Chiara",PM10,2019-05-20,15,7,µg/mc
"Parco S. Chiara",PM10,2019-05-20,16,11,µg/mc
"Parco S. Chiara",PM10,2019-05-20,17,12,µg/mc
"Parco S. Chiara",PM10,2019-05-20,18,9,µg/mc
"Parco S. Chiara",PM10,2019-05-20,19,9,µg/mc
"Parco S. Chiara",PM10,2019-05-20,20,9,µg/mc
"Parco S. Chiara",PM10,2019-05-20,21,9,µg/mc
"Parco S. Chiara",PM10,2019-05-20,22,11,µg/mc
"Parco S. Chiara",PM10,2019-05-20,23,11,µg/mc
"Parco S. Chiara",PM10,2019-05-20,24,10,µg/mc
"Parco S. Chiara",PM10,2019-05-21,1,5,µg/mc
"Parco S. Chiara",PM10,2019-05-21,2,4,µg/mc
"Parco S. Chiara",PM10,2019-05-21,3,3,µg/mc
"Parco S. Chiara",PM10,2019-05-21,4,7,µg/mc
"Parco S. Chiara",PM10,2019-05-21,5,8,µg/mc
"Parco S. Chiara",PM10,2019-05-21,6,7,µg/mc
"Parco S. Chiara",PM10,2019-05-21,7,6,µg/mc
"Parco S. Chiara",PM10,2019-05-21,8,8,µg/mc
"Parco S. Chiara",PM10,2019-05-21,9,5,µg/mc
"Parco S. Chiara",PM10,2019-05-21,10,6,µg/mc
"Parco S. Chiara",PM10,2019-05-21,11,6,µg/mc
"Parco S. Chiara",PM10,2019-05-21,12,4,µg/mc
"Parco S. Chiara",PM10,2019-05-21,13,3,µg/mc
"Parco S. Chiara",PM10,2019-05-21,14,6,µg/mc
"Parco S. Chiara",PM10,2019-05-21,15,6,µg/mc
"Parco S. Chiara",PM10,2019-05-21,16,5,µg/mc
"Parco S. Chiara",PM10,2019-05-21,17,6,µg/mc
"Parco S. Chiara",PM10,2019-05-21,18,12,µg/mc
"Parco S. Chiara",PM10,2019-05-21,19,18,µg/mc
"Parco S. Chiara",PM10,2019-05-21,20,13,µg/mc
"Parco S. Chiara",PM10,2019-05-21,21,11,µg/mc
"Parco S. Chiara",PM10,2019-05-21,22,12,µg/mc
"Parco S. Chiara",PM10,2019-05-21,23,14,µg/mc
"Parco S. Chiara",PM10,2019-05-21,24,15,µg/mc
"Parco S. Chiara",PM10,2019-05-22,1,14,µg/mc
"Parco S. Chiara",PM10,2019-05-22,2,9,µg/mc
"Parco S. Chiara",PM10,2019-05-22,3,11,µg/mc
"Parco S. Chiara",PM10,2019-05-22,4,10,µg/mc
